number of cameras: 16 ,number of points: 6 ,number of observations: 52, method: GN, initial lambda: 5.000000

camera id = 0, point id = 0, error_u = -3.524782, error_v = 3.400283
camera id = 1, point id = 0, error_u = 1.026292, error_v = -12.756455
camera id = 2, point id = 0, error_u = -0.831550, error_v = -2.660214
camera id = 7, point id = 0, error_u = -6.030673, error_v = 2.462983
camera id = 12, point id = 0, error_u = -40.797814, error_v = 15.977349
camera id = 13, point id = 0, error_u = -0.274235, error_v = -1.971045
camera id = 0, point id = 1, error_u = 11.990010, error_v = 0.303744
camera id = 1, point id = 1, error_u = -17.196561, error_v = 2.532622
camera id = 10, point id = 1, error_u = -24.894822, error_v = -11.879594
camera id = 0, point id = 2, error_u = 0.133729, error_v = 0.016178
camera id = 1, point id = 2, error_u = -35.335801, error_v = 0.959952
camera id = 2, point id = 2, error_u = 9.675968, error_v = 3.928767
camera id = 6, point id = 2, error_u = -10.585806, error_v = -5.903983
camera id = 7, point id = 2, error_u = 30.783957, error_v = 21.885092
camera id = 9, point id = 2, error_u = -24.747916, error_v = -7.677203
camera id = 10, point id = 2, error_u = -50.832985, error_v = -32.579181
camera id = 12, point id = 2, error_u = -2.240165, error_v = -1.290958
camera id = 13, point id = 2, error_u = -8.984414, error_v = 0.996568
camera id = 15, point id = 2, error_u = -13.071781, error_v = -7.163197
camera id = 0, point id = 3, error_u = 0.261447, error_v = -0.054501
camera id = 1, point id = 3, error_u = -35.206254, error_v = 1.520471
camera id = 2, point id = 3, error_u = 10.369951, error_v = 5.274045
camera id = 6, point id = 3, error_u = -9.613674, error_v = -4.985921
camera id = 7, point id = 3, error_u = 31.495516, error_v = 21.728132
camera id = 8, point id = 3, error_u = -6.263272, error_v = 1.306684
camera id = 9, point id = 3, error_u = -24.017078, error_v = -5.706150
camera id = 10, point id = 3, error_u = -50.578945, error_v = -31.336831
camera id = 12, point id = 3, error_u = -1.607818, error_v = -0.978253
camera id = 15, point id = 3, error_u = -12.719347, error_v = -6.925492
camera id = 0, point id = 4, error_u = -2.465046, error_v = -3.974309
camera id = 1, point id = 4, error_u = -31.292536, error_v = -19.455493
camera id = 2, point id = 4, error_u = 1.264296, error_v = 6.407341
camera id = 3, point id = 4, error_u = 3.740255, error_v = 0.542905
camera id = 5, point id = 4, error_u = -1.471396, error_v = 1.250132
camera id = 6, point id = 4, error_u = 5.671478, error_v = -24.863572
camera id = 8, point id = 4, error_u = -3.218818, error_v = -6.121725
camera id = 9, point id = 4, error_u = 12.034126, error_v = -29.478602
camera id = 11, point id = 4, error_u = 6.521759, error_v = -3.240042
camera id = 13, point id = 4, error_u = 1.111172, error_v = 0.586807
camera id = 14, point id = 4, error_u = 7.981971, error_v = -1.371919
camera id = 0, point id = 5, error_u = 0.747047, error_v = 5.282121
camera id = 1, point id = 5, error_u = -2.958596, error_v = -1.729556
camera id = 3, point id = 5, error_u = 3.590638, error_v = 7.771341
camera id = 4, point id = 5, error_u = -2.182356, error_v = -4.791282
camera id = 5, point id = 5, error_u = -1.540314, error_v = 1.463281
camera id = 6, point id = 5, error_u = 2.050216, error_v = -5.434865
camera id = 7, point id = 5, error_u = -5.524399, error_v = 11.725221
camera id = 8, point id = 5, error_u = -0.964111, error_v = -3.720745
camera id = 9, point id = 5, error_u = 8.676972, error_v = -20.514099
camera id = 10, point id = 5, error_u = 4.528742, error_v = -14.792293
camera id = 13, point id = 5, error_u = 0.855303, error_v = -0.786883
camera id = 15, point id = 5, error_u = 0.508842, error_v = -4.050888
successful step! iteration = 0, error before = 11339.319739, error next = 7473.006051, lambda = 0.500000

camera id = 0, point id = 0, error_u = -1.777215, error_v = 2.546688
camera id = 1, point id = 0, error_u = 1.900754, error_v = -11.167128
camera id = 2, point id = 0, error_u = 0.308090, error_v = -3.033378
camera id = 7, point id = 0, error_u = -5.198237, error_v = 1.772225
camera id = 12, point id = 0, error_u = -40.723827, error_v = 22.918586
camera id = 13, point id = 0, error_u = 0.244933, error_v = -1.723992
camera id = 0, point id = 1, error_u = 11.708635, error_v = 0.494948
camera id = 1, point id = 1, error_u = -12.892349, error_v = 1.725279
camera id = 10, point id = 1, error_u = -19.296280, error_v = -9.964715
camera id = 0, point id = 2, error_u = 1.356869, error_v = 0.569021
camera id = 1, point id = 2, error_u = -27.267409, error_v = 1.022876
camera id = 2, point id = 2, error_u = 7.710361, error_v = 2.302068
camera id = 6, point id = 2, error_u = -6.150378, error_v = -4.290724
camera id = 7, point id = 2, error_u = 25.284065, error_v = 18.140188
camera id = 9, point id = 2, error_u = -13.666750, error_v = -3.512086
camera id = 10, point id = 2, error_u = -39.415694, error_v = -26.602214
camera id = 12, point id = 2, error_u = -5.870049, error_v = -4.978862
camera id = 13, point id = 2, error_u = -7.127254, error_v = 1.760823
camera id = 15, point id = 2, error_u = -8.385230, error_v = -4.987774
camera id = 0, point id = 3, error_u = 1.454969, error_v = 0.496840
camera id = 1, point id = 3, error_u = -27.196058, error_v = 1.482536
camera id = 2, point id = 3, error_u = 8.299242, error_v = 3.567139
camera id = 6, point id = 3, error_u = -5.269602, error_v = -3.498637
camera id = 7, point id = 3, error_u = 25.873265, error_v = 18.034282
camera id = 8, point id = 3, error_u = -4.345082, error_v = 1.269292
camera id = 9, point id = 3, error_u = -12.955380, error_v = -1.793972
camera id = 10, point id = 3, error_u = -39.264352, error_v = -25.545470
camera id = 12, point id = 3, error_u = -5.601401, error_v = -4.663844
camera id = 15, point id = 3, error_u = -8.131066, error_v = -4.813454
camera id = 0, point id = 4, error_u = -1.437350, error_v = -2.086027
camera id = 1, point id = 4, error_u = -25.026527, error_v = -14.828712
camera id = 2, point id = 4, error_u = 0.497388, error_v = 5.356285
camera id = 3, point id = 4, error_u = 2.597333, error_v = 0.829240
camera id = 5, point id = 4, error_u = -1.202270, error_v = 2.406844
camera id = 6, point id = 4, error_u = 5.528654, error_v = -19.226811
camera id = 8, point id = 4, error_u = -2.413146, error_v = -4.291544
camera id = 9, point id = 4, error_u = 13.473408, error_v = -22.585994
camera id = 11, point id = 4, error_u = 5.885718, error_v = -1.489137
camera id = 13, point id = 4, error_u = 1.522599, error_v = 1.940475
camera id = 14, point id = 4, error_u = 6.518583, error_v = 0.108210
camera id = 0, point id = 5, error_u = -0.175981, error_v = 4.567944
camera id = 1, point id = 5, error_u = -4.111680, error_v = -0.629837
camera id = 3, point id = 5, error_u = 3.053060, error_v = 6.606081
camera id = 4, point id = 5, error_u = -1.188010, error_v = -4.382010
camera id = 5, point id = 5, error_u = -1.416717, error_v = 1.619897
camera id = 6, point id = 5, error_u = 4.539973, error_v = -3.279689
camera id = 7, point id = 5, error_u = -5.909689, error_v = 9.632045
camera id = 8, point id = 5, error_u = -0.355827, error_v = -1.885377
camera id = 9, point id = 5, error_u = 16.039795, error_v = -9.600617
camera id = 10, point id = 5, error_u = 3.833560, error_v = -12.589214
camera id = 13, point id = 5, error_u = 0.761734, error_v = 0.351816
camera id = 15, point id = 5, error_u = 0.205899, error_v = -3.142098
unsuccessful step! iteration = 1, error before = 7473.006051, error next = 67468129971.190811, lambda = 5.000000

camera id = 0, point id = 0, error_u = -1.777215, error_v = 2.546688
camera id = 1, point id = 0, error_u = 1.900754, error_v = -11.167128
camera id = 2, point id = 0, error_u = 0.308090, error_v = -3.033378
camera id = 7, point id = 0, error_u = -5.198237, error_v = 1.772225
camera id = 12, point id = 0, error_u = -40.723827, error_v = 22.918586
camera id = 13, point id = 0, error_u = 0.244933, error_v = -1.723992
camera id = 0, point id = 1, error_u = 11.708635, error_v = 0.494948
camera id = 1, point id = 1, error_u = -12.892349, error_v = 1.725279
camera id = 10, point id = 1, error_u = -19.296280, error_v = -9.964715
camera id = 0, point id = 2, error_u = 1.356869, error_v = 0.569021
camera id = 1, point id = 2, error_u = -27.267409, error_v = 1.022876
camera id = 2, point id = 2, error_u = 7.710361, error_v = 2.302068
camera id = 6, point id = 2, error_u = -6.150378, error_v = -4.290724
camera id = 7, point id = 2, error_u = 25.284065, error_v = 18.140188
camera id = 9, point id = 2, error_u = -13.666750, error_v = -3.512086
camera id = 10, point id = 2, error_u = -39.415694, error_v = -26.602214
camera id = 12, point id = 2, error_u = -5.870049, error_v = -4.978862
camera id = 13, point id = 2, error_u = -7.127254, error_v = 1.760823
camera id = 15, point id = 2, error_u = -8.385230, error_v = -4.987774
camera id = 0, point id = 3, error_u = 1.454969, error_v = 0.496840
camera id = 1, point id = 3, error_u = -27.196058, error_v = 1.482536
camera id = 2, point id = 3, error_u = 8.299242, error_v = 3.567139
camera id = 6, point id = 3, error_u = -5.269602, error_v = -3.498637
camera id = 7, point id = 3, error_u = 25.873265, error_v = 18.034282
camera id = 8, point id = 3, error_u = -4.345082, error_v = 1.269292
camera id = 9, point id = 3, error_u = -12.955380, error_v = -1.793972
camera id = 10, point id = 3, error_u = -39.264352, error_v = -25.545470
camera id = 12, point id = 3, error_u = -5.601401, error_v = -4.663844
camera id = 15, point id = 3, error_u = -8.131066, error_v = -4.813454
camera id = 0, point id = 4, error_u = -1.437350, error_v = -2.086027
camera id = 1, point id = 4, error_u = -25.026527, error_v = -14.828712
camera id = 2, point id = 4, error_u = 0.497388, error_v = 5.356285
camera id = 3, point id = 4, error_u = 2.597333, error_v = 0.829240
camera id = 5, point id = 4, error_u = -1.202270, error_v = 2.406844
camera id = 6, point id = 4, error_u = 5.528654, error_v = -19.226811
